transfer_mode,protocol_name,display_name,masked_total,active_total_nominal,sensor,variable,rmse,mae,r2
full_finetune,lab2_all13,Lab2 all 13 active,0,13,2,temperature,0.15807782615398844,0.11690190434455872,0.9874111239441918
full_finetune,lab2_all13,Lab2 all 13 active,0,13,2,humidity,0.5249873034894744,0.32760030031204224,0.9770158034914828
full_finetune,lab2_all13,Lab2 all 13 active,0,13,3,temperature,0.1419667369381566,0.0929817482829094,0.9885986761524175
full_finetune,lab2_all13,Lab2 all 13 active,0,13,3,humidity,0.4737575091569578,0.3249911069869995,0.982949008529317
full_finetune,lab2_all13,Lab2 all 13 active,0,13,4,temperature,0.33078583910123316,0.15875546634197235,0.9586694995455098
full_finetune,lab2_all13,Lab2 all 13 active,0,13,4,humidity,1.0535345486704788,0.49043864011764526,0.8888839362745282
full_finetune,lab2_all13,Lab2 all 13 active,0,13,5,temperature,0.12023779388930769,0.08151914924383163,0.9905433957385726
full_finetune,lab2_all13,Lab2 all 13 active,0,13,5,humidity,0.29921667232738297,0.2145835906267166,0.9933767355684143
full_finetune,lab2_all13,Lab2 all 13 active,0,13,6,temperature,0.1571603481587471,0.10583510994911194,0.9872846124072384
full_finetune,lab2_all13,Lab2 all 13 active,0,13,6,humidity,0.6687046926962121,0.3647540509700775,0.9686361315515669
full_finetune,lab2_all13,Lab2 all 13 active,0,13,7,temperature,0.22479448568758437,0.15147709846496582,0.9710259200713799
full_finetune,lab2_all13,Lab2 all 13 active,0,13,7,humidity,0.623158412026093,0.40682196617126465,0.9751587149192324
full_finetune,lab2_all13,Lab2 all 13 active,0,13,8,temperature,0.09856784210380773,0.07453256100416183,0.994140192069553
full_finetune,lab2_all13,Lab2 all 13 active,0,13,8,humidity,0.4630055988953692,0.30856844782829285,0.9850701892781154
full_finetune,lab2_all13,Lab2 all 13 active,0,13,9,temperature,0.17952558229628476,0.09370376914739609,0.9817415478957928
full_finetune,lab2_all13,Lab2 all 13 active,0,13,9,humidity,0.7240198827326454,0.4186443090438843,0.9666879711809291
full_finetune,lab2_all13,Lab2 all 13 active,0,13,10,temperature,0.14441435829609012,0.1046501025557518,0.9889021653298499
full_finetune,lab2_all13,Lab2 all 13 active,0,13,10,humidity,0.6512653322666501,0.39524155855178833,0.9728766701333998
full_finetune,lab2_all13,Lab2 all 13 active,0,13,11,temperature,0.1525507523163981,0.10034774988889694,0.9880446805606884
full_finetune,lab2_all13,Lab2 all 13 active,0,13,11,humidity,0.5784733727870986,0.3579934239387512,0.9745008213854864
full_finetune,lab2_all13,Lab2 all 13 active,0,13,12,temperature,0.12064579432380418,0.09192077815532684,0.9912175140727776
full_finetune,lab2_all13,Lab2 all 13 active,0,13,12,humidity,0.5616865369025089,0.4007487893104553,0.9792127121719483
full_finetune,lab2_all13,Lab2 all 13 active,0,13,13,temperature,0.11275616164985554,0.08443322032690048,0.9921992670588308
full_finetune,lab2_all13,Lab2 all 13 active,0,13,13,humidity,0.3831423875618751,0.27967536449432373,0.9882203321682654
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,1,temperature,0.14627372218171908,0.10738907754421234,0.9855383020620773
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,1,humidity,0.5005255261961034,0.353558748960495,0.9825917092292161
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,2,temperature,0.1590017424055362,0.10845291614532471,0.9872635375158679
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,2,humidity,0.46245664058235386,0.32003355026245117,0.9821649740983495
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,3,temperature,0.1591380070605375,0.10033538937568665,0.9856738358354779
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,3,humidity,0.4756966839882263,0.34478560090065,0.9828091369644556
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,4,temperature,0.36658320515621645,0.18971678614616394,0.9492399580131065
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,4,humidity,1.1490816658253769,0.5344644784927368,0.8678153319988954
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,5,temperature,0.10699017216767968,0.0737975686788559,0.9925124284291051
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,5,humidity,0.33694219057175445,0.23814378678798676,0.9916013151207189
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,6,temperature,0.20427391769347486,0.11687981337308884,0.9785182589125958
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,6,humidity,0.6151873131569289,0.3704312741756439,0.9734554336002944
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,7,temperature,0.22064636986091288,0.154221773147583,0.9720853669461437
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,7,humidity,0.6765211167574611,0.4717446267604828,0.9707221043274656
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,8,temperature,0.12440227111321742,0.08213726431131363,0.9906659630247189
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,8,humidity,0.5156985721696339,0.34236082434654236,0.9814786062112449
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,9,temperature,0.22898002451183924,0.1427653729915619,0.9702965800261014
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,9,humidity,0.8694118119542453,0.600861668586731,0.9519657302377007
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,10,temperature,0.1814974045889742,0.12100423872470856,0.9824709506325663
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,10,humidity,0.6550666494166204,0.3981369733810425,0.9725591176917214
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,11,temperature,0.16530192619897358,0.10382114350795746,0.9859625468538996
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,11,humidity,0.5778188152391057,0.4172934591770172,0.9745584933755695
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,12,temperature,0.1344287504215715,0.08727603405714035,0.9890962113983243
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,12,humidity,0.5373811069114013,0.38257360458374023,0.980972813104452
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,13,temperature,0.11345029008105555,0.07376234233379364,0.9921029288360089
full_finetune,lab2_active_5,"Lab2 active set [11, 4, 6, 9, 1]",8,5,13,humidity,0.39804053633774406,0.292916864156723,0.987286438836697
