lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,variable,rmse,mae,r2
lab2,head_only,lab2_active_1_2_9,"Lab2 active set [1, 2, 9]",3,10,humidity,0.6878982166948903,0.5092556430743291,0.9612055136677308
lab2,head_only,lab2_active_1_2_9,"Lab2 active set [1, 2, 9]",3,10,temperature,0.25763558408759435,0.18030661459152514,0.9509575671007647
lab2,head_only,lab2_active_1_3,"Lab2 active set [1, 3]",2,11,humidity,0.7188187402934177,0.4764248499503502,0.9573984941839317
lab2,head_only,lab2_active_1_3,"Lab2 active set [1, 3]",2,11,temperature,0.26562027295279794,0.17263604815189654,0.9476777534576257
lab2,head_only,lab2_active_1_3_10,"Lab2 active set [1, 3, 10]",3,10,humidity,0.7331741213851031,0.48082586893668544,0.9557881197278371
lab2,head_only,lab2_active_1_3_10,"Lab2 active set [1, 3, 10]",3,10,temperature,0.2546572899766448,0.16816068154114944,0.9515804963629536
lab2,head_only,lab2_active_1_3_11,"Lab2 active set [1, 3, 11]",3,10,humidity,0.693193260602781,0.47970333007665783,0.9614712835545447
lab2,head_only,lab2_active_1_3_11,"Lab2 active set [1, 3, 11]",3,10,temperature,0.23933089774827465,0.15676094133120316,0.9572891729094078
lab2,head_only,lab2_active_1_3_12,"Lab2 active set [1, 3, 12]",3,10,humidity,0.7243622478108923,0.5323163935771356,0.957237909052648
lab2,head_only,lab2_active_1_3_12,"Lab2 active set [1, 3, 12]",3,10,temperature,0.2923211205058059,0.21061696914526132,0.937031352790465
lab2,head_only,lab2_active_1_3_13,"Lab2 active set [1, 3, 13]",3,10,humidity,0.7212114429925355,0.47906712614572966,0.9580933332305797
lab2,head_only,lab2_active_1_3_13,"Lab2 active set [1, 3, 13]",3,10,temperature,0.27982357735114316,0.18998606961507064,0.9417868293049036
lab2,head_only,lab2_active_1_3_4,"Lab2 active set [1, 3, 4]",3,10,humidity,0.6414598630350751,0.45377835402121913,0.9647515008598624
lab2,head_only,lab2_active_1_3_4,"Lab2 active set [1, 3, 4]",3,10,temperature,0.27091828877350743,0.16642769712668198,0.9437325388665492
lab2,head_only,lab2_active_1_3_5,"Lab2 active set [1, 3, 5]",3,10,humidity,0.7406595032267985,0.4963490962982178,0.9539460396932093
lab2,head_only,lab2_active_1_3_5,"Lab2 active set [1, 3, 5]",3,10,temperature,0.23633617030731496,0.1527686738050901,0.9576909106640668
lab2,head_only,lab2_active_1_3_6,"Lab2 active set [1, 3, 6]",3,10,humidity,0.7551664519446052,0.5273553820756766,0.955379869439054
lab2,head_only,lab2_active_1_3_6,"Lab2 active set [1, 3, 6]",3,10,temperature,0.2633514045548097,0.18138609597316155,0.9480442882582516
