transfer_mode,protocol_name,display_name,masked_total,variable,rmse,mae,r2,active_count,rank_within_k,source_score,source_r2_temperature,source_r2_humidity,active_total_nominal
lab1_reference,lab2_all13,Lab2 all 13 active,0,humidity,0.4728632138953841,0.3267081563289349,0.9861836332237507,13,,,,,13
lab1_reference,lab2_all13,Lab2 all 13 active,0,temperature,0.1227402849946207,0.07672647157540688,0.9664697583029797,13,,,,,13
zero_shot,lab2_active_10_12,"Lab2 active set [10, 12]",11,humidity,1.2630969678143142,1.048861563205719,0.8649451469414787,2,5.0,0.8999330980609063,0.9357172381864598,0.8641489579353527,2
zero_shot,lab2_active_10_12,"Lab2 active set [10, 12]",11,temperature,0.4227392854720623,0.33554162085056305,0.8932611382351083,2,5.0,0.8999330980609063,0.9357172381864598,0.8641489579353527,2
zero_shot,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,humidity,1.3861705515035136,1.1776639819145203,0.8434326383029153,5,5.0,0.9105067177646492,0.9345687587779052,0.8864446767513936,5
zero_shot,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,temperature,0.4472433058203197,0.35331965868289655,0.8778211386261121,5,5.0,0.9105067177646492,0.9345687587779052,0.8864446767513936,5
zero_shot,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,humidity,1.412084915207776,1.089137457884275,0.8360677225791731,5,1.0,0.9205448074920836,0.9417048806006524,0.8993847343835151,5
zero_shot,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,temperature,0.4168772028945219,0.31246851957761324,0.8875564731390541,5,1.0,0.9205448074920836,0.9417048806006524,0.8993847343835151,5
zero_shot,lab2_active_2_4_7,"Lab2 active set [2, 4, 7]",10,humidity,1.348511641303896,1.027956852546105,0.8505251328770977,3,3.0,0.915910571939737,0.9395907101033968,0.8922304337760772,3
zero_shot,lab2_active_2_4_7,"Lab2 active set [2, 4, 7]",10,temperature,0.3967112787293401,0.30125601016558134,0.9032661579687117,3,3.0,0.915910571939737,0.9395907101033968,0.8922304337760772,3
zero_shot,lab2_active_2_7,"Lab2 active set [2, 7]",11,humidity,1.2188580180537378,1.0150429400113912,0.8699838833935061,2,2.0,0.904532155380252,0.931917829500442,0.8771464812600616,2
zero_shot,lab2_active_2_7,"Lab2 active set [2, 7]",11,temperature,0.42578023189808295,0.3288151163321275,0.8915280442454377,2,2.0,0.904532155380252,0.931917829500442,0.8771464812600616,2
zero_shot,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,humidity,1.269663121664608,1.0183813732403975,0.864725936827601,5,2.0,0.9136143319883454,0.936178614195629,0.8910500497810617,5
zero_shot,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,temperature,0.39347921441812506,0.3070395886898041,0.9005968245028307,5,2.0,0.9136143319883454,0.936178614195629,0.8910500497810617,5
zero_shot,lab2_active_4_6_7,"Lab2 active set [4, 6, 7]",10,humidity,1.3359745555837246,1.0275338658919702,0.8548783221216077,3,1.0,0.9193659879191334,0.9409863300645436,0.8977456457737232,3
zero_shot,lab2_active_4_6_7,"Lab2 active set [4, 6, 7]",10,temperature,0.39231140074091175,0.3061327716478935,0.9065450767544468,3,1.0,0.9193659879191334,0.9409863300645436,0.8977456457737232,3
zero_shot,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,humidity,1.2634043516744369,0.9862028176967914,0.8694575235216225,5,4.0,0.910873516277186,0.9373549071345408,0.884392125419831,5
zero_shot,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,temperature,0.39069069565676706,0.2984849569889215,0.9039463322609861,5,4.0,0.910873516277186,0.9373549071345408,0.884392125419831,5
zero_shot,lab2_active_4_6_9,"Lab2 active set [4, 6, 9]",10,humidity,1.5755648028826859,1.2227208339251006,0.8038584910137568,3,2.0,0.9160775305379836,0.9351454362444788,0.897009624831488,3
zero_shot,lab2_active_4_6_9,"Lab2 active set [4, 6, 9]",10,temperature,0.4368599616219229,0.34076280089525074,0.8821404135445304,3,2.0,0.9160775305379836,0.9351454362444788,0.897009624831488,3
zero_shot,lab2_active_5_6_9,"Lab2 active set [5, 6, 9]",10,humidity,1.3192353366771032,1.109225135583144,0.8534817683179176,3,4.0,0.9155817795908644,0.9385801849540224,0.8925833742277067,3
zero_shot,lab2_active_5_6_9,"Lab2 active set [5, 6, 9]",10,temperature,0.4147699653208005,0.3265847208408209,0.8909063107624976,3,4.0,0.9155817795908644,0.9385801849540224,0.8925833742277067,3
zero_shot,lab2_active_5_7,"Lab2 active set [5, 7]",11,humidity,1.3392625572493342,1.107893203313534,0.8486492477858267,2,4.0,0.9013953453485144,0.9330976070759144,0.8696930836211141,2
zero_shot,lab2_active_5_7,"Lab2 active set [5, 7]",11,temperature,0.43022222904317375,0.3413533832018192,0.887308193772141,2,4.0,0.9013953453485144,0.9330976070759144,0.8696930836211141,2
zero_shot,lab2_active_5_9,"Lab2 active set [5, 9]",11,humidity,1.4577258677430878,1.2349060269502492,0.8200866297336942,2,1.0,0.9054522205009132,0.93457771070302,0.8763267302988064,2
zero_shot,lab2_active_5_9,"Lab2 active set [5, 9]",11,temperature,0.44186771798981284,0.3551903963088989,0.8760620741690397,2,1.0,0.9054522205009132,0.93457771070302,0.8763267302988064,2
zero_shot,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,humidity,1.1609805431964852,0.9388930247380183,0.8856981129975892,5,3.0,0.910945184254558,0.9406292495814974,0.8812611189276185,5
zero_shot,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,temperature,0.3986348482522615,0.30223508523060727,0.9028649729840581,5,3.0,0.910945184254558,0.9406292495814974,0.8812611189276185,5
zero_shot,lab2_active_6_9_10,"Lab2 active set [6, 9, 10]",10,humidity,1.2975978831549617,1.0678898783830495,0.8629070860611048,3,5.0,0.9153763524446158,0.93494266548191,0.8958100394073215,3
zero_shot,lab2_active_6_9_10,"Lab2 active set [6, 9, 10]",10,temperature,0.4323769882791496,0.33706583770421833,0.8829113965729447,3,5.0,0.9153763524446158,0.93494266548191,0.8958100394073215,3
zero_shot,lab2_active_8_10,"Lab2 active set [8, 10]",11,humidity,1.2360075259717942,1.0191859717552478,0.8708472706753957,2,3.0,0.9026187387670984,0.9333923944250012,0.8718450831091956,2
zero_shot,lab2_active_8_10,"Lab2 active set [8, 10]",11,temperature,0.42303708764676345,0.3317349919906029,0.8926113606711445,2,3.0,0.9026187387670984,0.9333923944250012,0.8718450831091956,2
zero_shot,lab2_all13,Lab2 all 13 active,0,humidity,1.2309451109841516,0.9893235266208649,0.8709928774477107,13,,,,,13
zero_shot,lab2_all13,Lab2 all 13 active,0,temperature,0.3880749998145093,0.29890899704052853,0.9028709050923999,13,,,,,13
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,humidity,1.3073862258915696,0.9071354407530564,0.8641489579353527,2,5.0,0.8999330980609063,0.9357172381864598,0.8641489579353527,2
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,temperature,0.3340060174406965,0.2436992457279792,0.9357172381864598,2,5.0,0.8999330980609063,0.9357172381864598,0.8641489579353527,2
head_only,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,humidity,1.194558331141406,0.8693966544591464,0.8864446767513936,5,5.0,0.9105067177646492,0.9345687587779052,0.8864446767513936,5
head_only,lab2_active_1_6_7_8_9,"Lab2 active set [1, 6, 7, 8, 9]",8,temperature,0.33760756118302476,0.23564039170742035,0.9345687587779051,5,5.0,0.9105067177646492,0.9345687587779052,0.8864446767513936,5
head_only,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,humidity,1.1087644457085977,0.8012008575292734,0.8993847343835151,5,1.0,0.9205448074920836,0.9417048806006524,0.8993847343835151,5
head_only,lab2_active_2_4_5_6_9,"Lab2 active set [2, 4, 5, 6, 9]",8,temperature,0.3117394818443573,0.20845510753301474,0.9417048806006523,5,1.0,0.9205448074920836,0.9417048806006524,0.8993847343835151,5
head_only,lab2_active_2_4_7,"Lab2 active set [2, 4, 7]",10,humidity,1.1537073616285618,0.7884449660778046,0.8922304337760772,3,3.0,0.915910571939737,0.9395907101033968,0.8922304337760772,3
head_only,lab2_active_2_4_7,"Lab2 active set [2, 4, 7]",10,temperature,0.31814742972185306,0.21351677924394608,0.9395907101033968,3,3.0,0.915910571939737,0.9395907101033968,0.8922304337760772,3
head_only,lab2_active_2_7,"Lab2 active set [2, 7]",11,humidity,1.2372499298219322,0.8462919684556814,0.8771464812600616,2,2.0,0.904532155380252,0.931917829500442,0.8771464812600616,2
head_only,lab2_active_2_7,"Lab2 active set [2, 7]",11,temperature,0.34265952113147863,0.233887635744535,0.9319178295004421,2,2.0,0.904532155380252,0.931917829500442,0.8771464812600616,2
head_only,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,humidity,1.1564365878966085,0.8222735157379737,0.8910500497810617,5,2.0,0.9136143319883454,0.936178614195629,0.8910500497810617,5
head_only,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,temperature,0.32679876727414314,0.22828817940675294,0.936178614195629,5,2.0,0.9136143319883454,0.936178614195629,0.8910500497810617,5
