transfer_mode,protocol_name,display_name,masked_total,active_total_nominal,sensor,variable,rmse,mae,r2,active_count,rank_within_k
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,1,temperature,0.20646744558015545,0.14208978414535522,0.8936278482816513,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,1,humidity,0.735939226735675,0.5459118485450745,0.9816352306346626,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,2,temperature,0.11133060536214816,0.09128577262163162,0.9847132406544494,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,2,humidity,0.5096253242201589,0.40720629692077637,0.9908419522528589,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,3,temperature,0.20768867331399257,0.14386843144893646,0.9211467814744025,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,3,humidity,0.8297882651079663,0.6807351112365723,0.9738380951587907,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,4,temperature,0.07442909474365562,0.05989605560898781,0.9846114389742571,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,4,humidity,0.3475007663176341,0.2731333374977112,0.9947217587283518,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,5,temperature,0.046841455417710766,0.032857153564691544,0.994824630156436,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,5,humidity,0.27603176237128085,0.21738851070404053,0.9970920457501514,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,6,temperature,0.26163823042075923,0.18709005415439606,0.9397373246353824,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,6,humidity,1.2484114566612186,0.9752345681190491,0.9525105959540608,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,7,temperature,0.0546001605417307,0.04174488037824631,0.9931745173400072,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,7,humidity,0.3198817543518177,0.2309628278017044,0.9958918052688536,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,8,temperature,0.08352216514319061,0.06004806607961655,0.9859966292948938,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,8,humidity,0.29232942122999284,0.21937422454357147,0.9970049606965193,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,9,temperature,0.10950002166615015,0.0895180031657219,0.9819793470606308,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,9,humidity,0.5282954634994267,0.44019749760627747,0.9911499299042001,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,10,temperature,0.07599034748200847,0.06016562879085541,0.987249735367771,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,10,humidity,0.36593346828907736,0.28548702597618103,0.9948561972989648,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,11,temperature,0.09885195192335551,0.07664145529270172,0.9792383194291021,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,11,humidity,0.36601797487854176,0.29989808797836304,0.9944494542495027,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,12,temperature,0.09530613264327673,0.06563437730073929,0.9809725987154494,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,12,humidity,0.4363173610688044,0.3323948383331299,0.9933639240295288,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,13,temperature,0.5694582302342478,0.2944515645503998,0.7458374439256461,5,2.0
lab1_reference,lab2_active_3_4_5_6_7,"Lab2 active set [3, 4, 5, 6, 7]",8,5,13,humidity,1.6280071603959663,0.9780226945877075,0.8637198700088556,5,2.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,1,temperature,0.17714034359578076,0.1171426847577095,0.9217003658358727,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,1,humidity,0.6110044603653225,0.44782376289367676,0.9873412632697424,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,2,temperature,0.08694699285070966,0.06983950734138489,0.9906761465693728,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,2,humidity,0.4196852438689238,0.31399843096733093,0.9937891892401791,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,3,temperature,0.0946604015898281,0.07483359426259995,0.983619374099046,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,3,humidity,0.5619470474591227,0.4389163851737976,0.988001538672519,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,4,temperature,0.10377229502706037,0.08588527143001556,0.9700859377682108,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,4,humidity,0.41951217181765016,0.3447068929672241,0.992307512262334,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,5,temperature,0.06409451757466153,0.051155123859643936,0.9903100305788843,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,5,humidity,0.31629264817261243,0.24934279918670654,0.996181897096338,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,6,temperature,0.2801475640996629,0.2033742517232895,0.9309092844740255,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,6,humidity,1.32573367984919,1.0594522953033447,0.9464457646723283,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,7,temperature,0.07697456419447544,0.0593668632209301,0.9864343684559987,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,7,humidity,0.34462618784860616,0.25649306178092957,0.9952316443655282,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,8,temperature,0.08708603593330162,0.06858810037374496,0.984776091561948,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,8,humidity,0.35948592008387237,0.27154111862182617,0.9954708029409833,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,9,temperature,0.10011636977767843,0.07881681621074677,0.9849355840576808,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,9,humidity,0.44800922265522275,0.3480361998081207,0.9936354626288836,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,10,temperature,0.08716546624104611,0.0667392760515213,0.9832238898253156,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,10,humidity,0.33707236289022846,0.2574126124382019,0.9956355817680126,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,11,temperature,0.10035744890713363,0.07465391606092453,0.9786011126031335,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,11,humidity,0.32866211481566165,0.26045525074005127,0.9955246175369217,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,12,temperature,0.08552132969749775,0.06315869092941284,0.9846790149708162,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,12,humidity,0.39508090114240463,0.285465806722641,0.9945590040647028,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,13,temperature,0.6337597668288307,0.25005772709846497,0.6851982518915019,5,3.0
lab1_reference,lab2_active_6_7_8_10_12,"Lab2 active set [6, 7, 8, 10, 12]",8,5,13,humidity,1.7417369311211854,0.7999491691589355,0.8440142055584076,5,3.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,1,temperature,0.18107348265306425,0.11880116164684296,0.918184713437844,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,1,humidity,0.6022193097362418,0.44077420234680176,0.98770266698802,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,2,temperature,0.09119151764334066,0.0720205008983612,0.9897435945099994,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,2,humidity,0.41919480299826706,0.2955862581729889,0.9938036964754953,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,3,temperature,0.09694342811407575,0.07687164098024368,0.9828197072756715,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,3,humidity,0.5162034691260615,0.4089994430541992,0.989875429449337,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,4,temperature,0.1167464978519361,0.09623723477125168,0.962138287594009,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,4,humidity,0.46379707208061266,0.3726852238178253,0.990597708786994,5,4.0
lab1_reference,lab2_active_4_6_8_10_12,"Lab2 active set [4, 6, 8, 10, 12]",8,5,5,temperature,0.05698599832747062,0.045312706381082535,0.9923402084453465,5,4.0
