lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,sensor,sensor_is_active,variable,rmse,mae,r2,active_count,rank_within_k,source_transfer_mode,source_score,source_r2_temperature,source_r2_humidity
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,8,0,humidity,0.3299187608445886,0.24998901784420013,0.9953882200145302,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,9,1,temperature,0.1941712414798791,0.16592222452163696,0.9403364993133352,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,9,1,humidity,0.8815615407674142,0.740545392036438,0.9713887013428675,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,10,1,temperature,0.08417773443642601,0.06306824833154678,0.9829332495801235,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,10,1,humidity,0.4212536297763459,0.31572631001472473,0.9914096423779339,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,11,1,temperature,0.09813042914198668,0.07130166888237,0.9765169233687249,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,11,1,humidity,0.3896353583184345,0.30222299695014954,0.9923631493843321,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,12,1,temperature,0.11110368491065423,0.08030877262353897,0.9724749728898882,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,12,1,humidity,0.6053323653648567,0.4740108847618103,0.984583404739405,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab1,lab1_reference,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,13,0,temperature,0.4939074663571444,0.36653390526771545,0.43309781903195,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
