lab_name,transfer_mode,protocol_name,display_name,active_total_nominal,masked_total,variable,rmse,mae,r2,active_count,rank_within_k,source_transfer_mode,source_score,source_r2_temperature,source_r2_humidity
lab2,zero_shot,lab2_active_1_9_11,"Lab2 active set [1, 9, 11]",3,10,temperature,0.4902575434969028,0.38079654024197507,0.8019784911499018,3,2.0,head_only,0.9642035608256305,0.9599657674493918,0.9684413542018694
lab2,zero_shot,lab2_active_2_10_12,"Lab2 active set [2, 10, 12]",3,10,humidity,1.1938818208028221,0.9448407934262202,0.8836855454662393,3,1.0,head_only,0.9646346718324705,0.9599084633549556,0.9693608803099855
lab2,zero_shot,lab2_active_2_10_12,"Lab2 active set [2, 10, 12]",3,10,temperature,0.4599827165266101,0.34027327597141266,0.8288468651150566,3,1.0,head_only,0.9646346718324705,0.9599084633549556,0.9693608803099855
lab2,zero_shot,lab2_active_2_12,"Lab2 active set [2, 12]",2,11,humidity,1.290338535649867,1.031157869559068,0.8644117449961138,2,1.0,head_only,0.96029773837112,0.9543954650864147,0.9662000116558251
lab2,zero_shot,lab2_active_2_12,"Lab2 active set [2, 12]",2,11,temperature,0.4957694209430882,0.3734766095876694,0.7971828431311443,2,1.0,head_only,0.96029773837112,0.9543954650864147,0.9662000116558251
lab2,zero_shot,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,humidity,1.1620559670677189,0.9117585970805242,0.8869834984758533,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab2,zero_shot,lab2_active_2_5_8_10_12,"Lab2 active set [2, 5, 8, 10, 12]",5,8,temperature,0.45558675857119596,0.33381186311061567,0.8301761820852905,5,2.0,head_only,0.9608355957225213,0.9559185025436885,0.9657526889013541
lab2,zero_shot,lab2_active_2_7_8_11_13,"Lab2 active set [2, 7, 8, 11, 13]",5,8,humidity,1.179082598208222,0.9242645570865045,0.8816908490290069,5,5.0,head_only,0.95874800501043,0.9570721660258362,0.9604238439950237
lab2,zero_shot,lab2_active_2_7_8_11_13,"Lab2 active set [2, 7, 8, 11, 13]",5,8,temperature,0.4726774921615682,0.36448822686305415,0.8064800971414717,5,5.0,head_only,0.95874800501043,0.9570721660258362,0.9604238439950237
lab2,zero_shot,lab2_active_3_4_6_11_12,"Lab2 active set [3, 4, 6, 11, 12]",5,8,humidity,1.2170177712144503,0.9456510383349198,0.8793760285842038,5,3.0,head_only,0.9602079936700301,0.9535127665029542,0.9669032208371059
lab2,zero_shot,lab2_active_3_4_6_11_12,"Lab2 active set [3, 4, 6, 11, 12]",5,8,temperature,0.4456471343907978,0.3252271986924685,0.8395531240001769,5,3.0,head_only,0.9602079936700301,0.9535127665029542,0.9669032208371059
lab2,zero_shot,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,humidity,1.232839513555231,0.9936418762573829,0.8772156790211662,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab2,zero_shot,lab2_active_3_9_10_11_12,"Lab2 active set [3, 9, 10, 11, 12]",5,8,temperature,0.4512994455506919,0.34311633385144746,0.8401736612474054,5,1.0,head_only,0.9627804842405017,0.9579309402718915,0.9676300282091117
lab2,zero_shot,lab2_active_6_10_12,"Lab2 active set [6, 10, 12]",3,10,humidity,1.215161831535311,0.9753793455087222,0.8807049132426256,3,4.0,head_only,0.9632241136465274,0.9554416709984305,0.9710065562946244
lab2,zero_shot,lab2_active_6_10_12,"Lab2 active set [6, 10, 12]",3,10,temperature,0.4397960829531791,0.32529551020035374,0.8469245826769127,3,4.0,head_only,0.9632241136465274,0.9554416709984305,0.9710065562946244
lab2,zero_shot,lab2_active_6_8,"Lab2 active set [6, 8]",2,11,humidity,1.30662606324764,1.0493108057058775,0.8600863279691892,2,4.0,head_only,0.9576247393954463,0.9508138664100989,0.9644356123807938
lab2,zero_shot,lab2_active_6_8,"Lab2 active set [6, 8]",2,11,temperature,0.48249117335172376,0.3710002669921288,0.8076826095824535,2,4.0,head_only,0.9576247393954463,0.9508138664100989,0.9644356123807938
lab2,zero_shot,lab2_active_9_11_12,"Lab2 active set [9, 11, 12]",3,10,humidity,1.3705642293096691,1.1315159843518183,0.8425298152535334,3,3.0,head_only,0.9633963846134114,0.9583799222354779,0.9684128469913449
lab2,zero_shot,lab2_active_9_11_12,"Lab2 active set [9, 11, 12]",3,10,temperature,0.4930094306041311,0.38521963816422683,0.8002887457845275,3,3.0,head_only,0.9633963846134114,0.9583799222354779,0.9684128469913449
lab2,zero_shot,lab2_all13,Lab2 all 13 active,13,0,humidity,1.1378144188515058,0.899311716739948,0.8890651920605551,13,,head_only,,,
lab2,zero_shot,lab2_all13,Lab2 all 13 active,13,0,temperature,0.44591726327821235,0.33523406890722424,0.8327428894251414,13,,head_only,,,
lab2,head_only,lab2_active_11_12,"Lab2 active set [11, 12]",2,11,humidity,0.6692700314759623,0.4551076889038086,0.9638727228693607,2,3.0,head_only,0.9576565163861234,0.9514403099028861,0.9638727228693607
lab2,head_only,lab2_active_11_12,"Lab2 active set [11, 12]",2,11,temperature,0.25451359959863745,0.16471583797381475,0.9514403099028861,2,3.0,head_only,0.9576565163861234,0.9514403099028861,0.9638727228693607
lab2,head_only,lab2_active_1_11,"Lab2 active set [1, 11]",2,11,humidity,0.6817272557215095,0.4393324003769801,0.9631088799306292,2,5.0,head_only,0.9565637916436753,0.9500187033567216,0.9631088799306292
lab2,head_only,lab2_active_1_11,"Lab2 active set [1, 11]",2,11,temperature,0.260058607179819,0.1765835674909445,0.9500187033567216,2,5.0,head_only,0.9565637916436753,0.9500187033567216,0.9631088799306292
lab2,head_only,lab2_active_1_2,"Lab2 active set [1, 2]",2,11,humidity,0.6865158960956363,0.4720759437634395,0.962422577338522,2,2.0,head_only,0.9582270147176323,0.9540314520967426,0.962422577338522
lab2,head_only,lab2_active_1_2,"Lab2 active set [1, 2]",2,11,temperature,0.24707356762902163,0.16530377704363602,0.9540314520967426,2,2.0,head_only,0.9582270147176323,0.9540314520967426,0.962422577338522
lab2,head_only,lab2_active_1_2_12,"Lab2 active set [1, 2, 12]",3,10,humidity,0.6487548655062808,0.45316841969123256,0.9658626921756583,3,5.0,head_only,0.963202273808501,0.9605418554413436,0.9658626921756583
