transfer_mode,protocol_name,display_name,active_count,masked_total,r2_humidity,r2_temperature,score
head_only,lab2_active_1_5_6,"Lab2 active set [1, 5, 6]",3,10,0.9630203086271378,0.9560665466285693,0.9595434276278536
head_only,lab2_active_1_6_11,"Lab2 active set [1, 6, 11]",3,10,0.9624194990930703,0.9566324905940558,0.959525994843563
head_only,lab2_active_1_3_11,"Lab2 active set [1, 3, 11]",3,10,0.961495095723172,0.9570235451160888,0.9592593204196305
head_only,lab2_active_6_8_11,"Lab2 active set [6, 8, 11]",3,10,0.963919543712122,0.9545203483485737,0.9592199460303479
head_only,lab2_active_2_3_9,"Lab2 active set [2, 3, 9]",3,10,0.9688046864995568,0.9494234545106548,0.9591140705051058
head_only,lab2_active_5_6_12,"Lab2 active set [5, 6, 12]",3,10,0.9645932876872781,0.9534082704424051,0.9590007790648416
head_only,lab2_active_1_2_5,"Lab2 active set [1, 2, 5]",3,10,0.9603421274314385,0.95697049162963,0.9586563095305343
head_only,lab2_active_2_3_12,"Lab2 active set [2, 3, 12]",3,10,0.9652379105200878,0.9517990507629274,0.9585184806415076
head_only,lab2_active_9_10_12,"Lab2 active set [9, 10, 12]",3,10,0.966139410633883,0.9508891571176931,0.9585142838757881
head_only,lab2_active_1_6_10,"Lab2 active set [1, 6, 10]",3,10,0.9609757491288883,0.9558915854737452,0.9584336673013167
head_only,lab2_active_10_11_12,"Lab2 active set [10, 11, 12]",3,10,0.967200020935352,0.9496361574723214,0.9584180892038368
head_only,lab2_active_2_6_8,"Lab2 active set [2, 6, 8]",3,10,0.964795827475772,0.9518355606394943,0.9583156940576332
head_only,lab2_active_6_8_13,"Lab2 active set [6, 8, 13]",3,10,0.9665393109663285,0.9500370173748359,0.9582881641705823
head_only,lab2_active_8_11_13,"Lab2 active set [8, 11, 13]",3,10,0.960434528680627,0.9556028671672551,0.958018697923941
head_only,lab2_active_6_11_12,"Lab2 active set [6, 11, 12]",3,10,0.9625118837781327,0.9531207296280725,0.9578163067031026
head_only,lab2_active_2_8_10,"Lab2 active set [2, 8, 10]",3,10,0.9586249426518172,0.9567533157229126,0.9576891291873648
head_only,lab2_active_2_3_7,"Lab2 active set [2, 3, 7]",3,10,0.9640031852467504,0.9511394525603574,0.957571318903554
head_only,lab2_active_3_5_6,"Lab2 active set [3, 5, 6]",3,10,0.9627980946964337,0.9522794170215637,0.9575387558589987
head_only,lab2_active_3_6_12,"Lab2 active set [3, 6, 12]",3,10,0.9661950166117544,0.9486701797363616,0.957432598174058
head_only,lab2_active_5_6_9,"Lab2 active set [5, 6, 9]",3,10,0.9662115567261355,0.9479694143683819,0.9570904855472586
head_only,lab2_active_2_12_13,"Lab2 active set [2, 12, 13]",3,10,0.9647969495438572,0.9493632824012148,0.957080115972536
head_only,lab2_active_4_8_11,"Lab2 active set [4, 8, 11]",3,10,0.9631442419220697,0.9510011555871298,0.9570726987545998
head_only,lab2_active_5_6_13,"Lab2 active set [5, 6, 13]",3,10,0.961442603299943,0.9526452202593136,0.9570439117796283
head_only,lab2_active_2_9_10,"Lab2 active set [2, 9, 10]",3,10,0.9632017966087242,0.9508358173588538,0.957018806983789
head_only,lab2_active_2_3_10,"Lab2 active set [2, 3, 10]",3,10,0.960358119359867,0.9536493133743295,0.9570037163670982
head_only,lab2_active_2_7_12,"Lab2 active set [2, 7, 12]",3,10,0.9624465456222111,0.9514461433868723,0.9569463445045416
head_only,lab2_active_5_6_10,"Lab2 active set [5, 6, 10]",3,10,0.9628627547058279,0.9507500750895007,0.9568064148976643
head_only,lab2_active_4_9_11,"Lab2 active set [4, 9, 11]",3,10,0.9646227471794082,0.9488296968946581,0.9567262220370332
head_only,lab2_active_2_5_12,"Lab2 active set [2, 5, 12]",3,10,0.9576975720340505,0.955440535524694,0.9565690537793723
head_only,lab2_active_1_5_11,"Lab2 active set [1, 5, 11]",3,10,0.9585982895294223,0.9543437301315371,0.9564710098304796
head_only,lab2_active_8_10_12,"Lab2 active set [8, 10, 12]",3,10,0.9618525443918787,0.9510734247523811,0.95646298457213
head_only,lab2_active_2_3_8,"Lab2 active set [2, 3, 8]",3,10,0.9615912194545397,0.9512672717223278,0.9564292455884338
head_only,lab2_active_1_9_10,"Lab2 active set [1, 9, 10]",3,10,0.9594429518477706,0.953330219318957,0.9563865855833638
head_only,lab2_active_6_8_9,"Lab2 active set [6, 8, 9]",3,10,0.9638365083985412,0.9488945475941077,0.9563655279963245
head_only,lab2_active_1_2_9,"Lab2 active set [1, 2, 9]",3,10,0.9613975645871348,0.9510700221354658,0.9562337933613003
head_only,lab2_active_1_2_11,"Lab2 active set [1, 2, 11]",3,10,0.9604235470174832,0.9519734873778456,0.9561985171976644
head_only,lab2_active_3_6_8,"Lab2 active set [3, 6, 8]",3,10,0.9668938209380082,0.9454791382314698,0.956186479584739
head_only,lab2_active_1_5_9,"Lab2 active set [1, 5, 9]",3,10,0.9589114381725719,0.9533039569851355,0.9561076975788536
head_only,lab2_active_2_4_8,"Lab2 active set [2, 4, 8]",3,10,0.9599647822986744,0.9522077399397504,0.9560862611192125
head_only,lab2_active_9_10_11,"Lab2 active set [9, 10, 11]",3,10,0.9644528382572897,0.9476065005302161,0.9560296693937529
head_only,lab2_active_3_8_13,"Lab2 active set [3, 8, 13]",3,10,0.9651346386153377,0.9468237856052504,0.955979212110294
head_only,lab2_active_8_9_11,"Lab2 active set [8, 9, 11]",3,10,0.9620617196957352,0.9498125549042514,0.9559371372999933
head_only,lab2_active_5_11_12,"Lab2 active set [5, 11, 12]",3,10,0.9600169973661677,0.9515951225066941,0.9558060599364309
head_only,lab2_active_2_6_12,"Lab2 active set [2, 6, 12]",3,10,0.9665967151616781,0.9449357732136939,0.955766244187686
head_only,lab2_active_1_3_5,"Lab2 active set [1, 3, 5]",3,10,0.953809834182839,0.9576045119066652,0.9557071730447522
head_only,lab2_active_8_10_13,"Lab2 active set [8, 10, 13]",3,10,0.9650132701663809,0.9463786498740897,0.9556959600202353
head_only,lab2_active_1_6_12,"Lab2 active set [1, 6, 12]",3,10,0.9585312170888449,0.9528223550227165,0.9556767860557807
head_only,lab2_active_6_12_13,"Lab2 active set [6, 12, 13]",3,10,0.9638249848138079,0.9474733546551373,0.9556491697344726
head_only,lab2_active_5_12_13,"Lab2 active set [5, 12, 13]",3,10,0.9650166473207544,0.9461847160990067,0.9556006817098806
head_only,lab2_active_6_10_13,"Lab2 active set [6, 10, 13]",3,10,0.9640066639915289,0.946888031771969,0.9554473478817489
head_only,lab2_active_3_8_10,"Lab2 active set [3, 8, 10]",3,10,0.9610485212363595,0.9497140495160495,0.9553812853762045
head_only,lab2_active_5_6_11,"Lab2 active set [5, 6, 11]",3,10,0.9626409933841231,0.9479062730326357,0.9552736332083794
head_only,lab2_active_6_10_11,"Lab2 active set [6, 10, 11]",3,10,0.9667670678355578,0.943434264123809,0.9551006659796835
head_only,lab2_active_3_5_10,"Lab2 active set [3, 5, 10]",3,10,0.9585915896711525,0.9515995911973587,0.9550955904342556
head_only,lab2_active_4_8_9,"Lab2 active set [4, 8, 9]",3,10,0.9618333435927683,0.9482186199596747,0.9550259817762214
head_only,lab2_active_2_8_9,"Lab2 active set [2, 8, 9]",3,10,0.9602858455690835,0.9496179553818405,0.954951900475462
head_only,lab2_active_2_8_11,"Lab2 active set [2, 8, 11]",3,10,0.9591741388863854,0.950636589714762,0.9549053643005736
head_only,lab2_active_5_9_10,"Lab2 active set [5, 9, 10]",3,10,0.9600088085368645,0.949725029196019,0.9548669188664418
head_only,lab2_active_2_3_5,"Lab2 active set [2, 3, 5]",3,10,0.9556843025515793,0.9539007712977903,0.9547925369246848
head_only,lab2_active_2_4_5,"Lab2 active set [2, 4, 5]",3,10,0.9605780506665597,0.9489753913629877,0.9547767210147737
head_only,lab2_active_1_2_3,"Lab2 active set [1, 2, 3]",3,10,0.9633257821094396,0.9459254337386009,0.9546256079240203
head_only,lab2_active_5_10_12,"Lab2 active set [5, 10, 12]",3,10,0.9610662891589213,0.9480889702968991,0.9545776297279103
head_only,lab2_active_5_8_13,"Lab2 active set [5, 8, 13]",3,10,0.9596534298258123,0.9490581743455799,0.9543558020856961
head_only,lab2_active_8_12_13,"Lab2 active set [8, 12, 13]",3,10,0.9648013946849121,0.9435998840474868,0.9542006393661995
head_only,lab2_active_3_5_12,"Lab2 active set [3, 5, 12]",3,10,0.9559320084750809,0.9522096139376773,0.9540708112063792
