transfer_mode,protocol_name,display_name,masked_total,r2_humidity,r2_temperature,active_count,score
head_only,lab2_active_2_7_11,"Lab2 active set [2, 7, 11]",10,0.8694713265015103,0.9395790428648196,3,0.904525184683165
head_only,lab2_active_1_2_9,"Lab2 active set [1, 2, 9]",10,0.8762284446210142,0.9320026809144216,3,0.904115562767718
head_only,lab2_active_6_9_11,"Lab2 active set [6, 9, 11]",10,0.8805984045410606,0.9275804762166978,3,0.9040894403788793
head_only,lab2_active_7_8_10,"Lab2 active set [7, 8, 10]",10,0.8763959291306294,0.9315365351179923,3,0.9039662321243108
head_only,lab2_active_5_9_10,"Lab2 active set [5, 9, 10]",10,0.8784288823681654,0.929129622883176,3,0.9037792526256707
head_only,lab2_active_3_9_11,"Lab2 active set [3, 9, 11]",10,0.8793338031487263,0.9279659301937028,3,0.9036498666712145
head_only,lab2_active_4_7_10,"Lab2 active set [4, 7, 10]",10,0.887109721871792,0.9198872829699071,3,0.9034985024208495
head_only,lab2_active_1_6_10,"Lab2 active set [1, 6, 10]",10,0.8722244168053007,0.9345582342769257,3,0.9033913255411132
head_only,lab2_active_1_9_10,"Lab2 active set [1, 9, 10]",10,0.879935385849768,0.9268408017006856,3,0.9033880937752268
head_only,lab2_active_4_6_12,"Lab2 active set [4, 6, 12]",10,0.8834641052881532,0.9233049382663767,3,0.9033845217772649
head_only,lab2_active_1_5_7,"Lab2 active set [1, 5, 7]",10,0.872174004535407,0.9345028365813407,3,0.9033384205583739
head_only,lab2_active_4_5_9,"Lab2 active set [4, 5, 9]",10,0.8809000878091411,0.9251557424798684,3,0.9030279151445048
head_only,lab2_active_7_11_12,"Lab2 active set [7, 11, 12]",10,0.8701286914344964,0.9357635428245902,3,0.9029461171295433
head_only,lab2_active_3_6_12,"Lab2 active set [3, 6, 12]",10,0.8783020836031883,0.9271305292293449,3,0.9027163064162667
head_only,lab2_active_2_8_12,"Lab2 active set [2, 8, 12]",10,0.8717769089219706,0.9336481055397332,3,0.902712507230852
head_only,lab2_active_1_6_12,"Lab2 active set [1, 6, 12]",10,0.8809116397798056,0.924401065962004,3,0.9026563528709048
head_only,lab2_active_5_6_12,"Lab2 active set [5, 6, 12]",10,0.8672861424279438,0.9377999044154846,3,0.9025430234217142
head_only,lab2_active_4_8_9,"Lab2 active set [4, 8, 9]",10,0.8796577924444815,0.9249593896993774,3,0.9023085910719295
head_only,lab2_active_8_9_10,"Lab2 active set [8, 9, 10]",10,0.8789866284524267,0.9251365270793132,3,0.9020615777658699
head_only,lab2_active_7_10_11,"Lab2 active set [7, 10, 11]",10,0.8690403780485672,0.9348032482968498,3,0.9019218131727085
