transfer_mode,protocol_name,display_name,masked_total,variable,rmse,mae,r2
partial_finetune,lab2_active_3_8,"Lab2 active set [3, 8]",11,temperature,0.43309914375449254,0.31840963432422054,0.8915685819081308
partial_finetune,lab2_active_3_8_10,"Lab2 active set [3, 8, 10]",10,humidity,1.575053390202747,1.0513335970731883,0.8087358728142718
partial_finetune,lab2_active_3_8_10,"Lab2 active set [3, 8, 10]",10,temperature,0.4230986622639196,0.2983815624163701,0.8968028574305815
partial_finetune,lab2_active_3_8_11,"Lab2 active set [3, 8, 11]",10,humidity,1.7102218723508975,1.2146904881183918,0.7756070206865507
partial_finetune,lab2_active_3_8_11,"Lab2 active set [3, 8, 11]",10,temperature,0.4498485524558865,0.3369889866847258,0.8841535794229138
partial_finetune,lab2_active_3_8_12,"Lab2 active set [3, 8, 12]",10,humidity,1.6250783552814443,1.1705395304239714,0.7958477012427975
partial_finetune,lab2_active_3_8_12,"Lab2 active set [3, 8, 12]",10,temperature,0.4283308517725712,0.31322962045669556,0.8937923406339165
partial_finetune,lab2_active_3_8_13,"Lab2 active set [3, 8, 13]",10,humidity,1.7756586994681387,1.246255255662478,0.7539462210442968
partial_finetune,lab2_active_3_8_13,"Lab2 active set [3, 8, 13]",10,temperature,0.46039030412268256,0.3448217259003566,0.8768530676129842
partial_finetune,lab2_active_3_8_9,"Lab2 active set [3, 8, 9]",10,humidity,1.4817320936732965,1.069467278627249,0.8305079473044394
partial_finetune,lab2_active_3_8_9,"Lab2 active set [3, 8, 9]",10,temperature,0.41214778370623495,0.2971178786112712,0.9004664595766474
partial_finetune,lab2_active_3_9,"Lab2 active set [3, 9]",11,humidity,1.4362164593830484,1.0376669764518738,0.8386646975175746
partial_finetune,lab2_active_3_9,"Lab2 active set [3, 9]",11,temperature,0.4158787987465126,0.30126115335867953,0.8970086030639001
partial_finetune,lab2_active_3_9_10,"Lab2 active set [3, 9, 10]",10,humidity,1.391010656080654,0.947384971838731,0.84921105506938
partial_finetune,lab2_active_3_9_10,"Lab2 active set [3, 9, 10]",10,temperature,0.40268426770912547,0.2794403055539498,0.9056012637399224
partial_finetune,lab2_active_3_9_11,"Lab2 active set [3, 9, 11]",10,humidity,1.3898546075419778,0.9044847992750314,0.8470776690146096
partial_finetune,lab2_active_3_9_11,"Lab2 active set [3, 9, 11]",10,temperature,0.3953226425407941,0.2697955507498521,0.9073920684823465
partial_finetune,lab2_active_3_9_12,"Lab2 active set [3, 9, 12]",10,humidity,1.4533194218597822,1.0485039857717662,0.8350654486300382
partial_finetune,lab2_active_3_9_12,"Lab2 active set [3, 9, 12]",10,temperature,0.4070195294567942,0.2922489230449383,0.9023801741369262
partial_finetune,lab2_active_3_9_13,"Lab2 active set [3, 9, 13]",10,humidity,1.4354592175149674,0.9956235106174762,0.8370779923614194
partial_finetune,lab2_active_3_9_13,"Lab2 active set [3, 9, 13]",10,temperature,0.4192006071174789,0.30578805620853716,0.8946922754460807
partial_finetune,lab2_active_4_10,"Lab2 active set [4, 10]",11,humidity,1.5524742110004546,1.1102916965117822,0.8114577635861728
partial_finetune,lab2_active_4_10,"Lab2 active set [4, 10]",11,temperature,0.4642395306057337,0.3600624834115689,0.8746643290171863
partial_finetune,lab2_active_4_10_11,"Lab2 active set [4, 10, 11]",10,humidity,1.8722677768035039,1.5200507503289442,0.7251774222520498
partial_finetune,lab2_active_4_10_11,"Lab2 active set [4, 10, 11]",10,temperature,0.501579430131153,0.4108236569624681,0.8556349332054262
partial_finetune,lab2_active_4_10_12,"Lab2 active set [4, 10, 12]",10,humidity,1.5164032607625246,1.0230535131234388,0.8211482347681707
partial_finetune,lab2_active_4_10_12,"Lab2 active set [4, 10, 12]",10,temperature,0.4360636246160818,0.32594898572334874,0.8906528961437986
partial_finetune,lab2_active_4_10_13,"Lab2 active set [4, 10, 13]",10,humidity,1.6396677198214273,1.1895787486663232,0.7910909762950209
partial_finetune,lab2_active_4_10_13,"Lab2 active set [4, 10, 13]",10,temperature,0.47535101215372066,0.36673712501159084,0.8690943923754092
partial_finetune,lab2_active_4_11,"Lab2 active set [4, 11]",11,humidity,2.0891408901255932,1.812619374348567,0.6619424887859486
partial_finetune,lab2_active_4_11,"Lab2 active set [4, 11]",11,temperature,0.6053989055713586,0.5291620470010318,0.7909489084823774
partial_finetune,lab2_active_4_11_12,"Lab2 active set [4, 11, 12]",10,humidity,1.74590458296795,1.314572797371791,0.7615523094774947
