transfer_mode,protocol_name,display_name,masked_total,sensor,variable,rmse,mae,r2
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,7,temperature,0.34321758914498685,0.25687462091445923,0.932457454061955
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,8,humidity,1.4627888418728086,0.9619981646537781,0.850979814994397
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,8,temperature,0.29556704051804816,0.20671512186527252,0.9473103993489571
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,9,humidity,2.2787154239745413,1.6671754121780396,0.6700255632623114
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,9,temperature,0.5080327070062439,0.3906804919242859,0.8537841088996404
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,10,humidity,1.7150810616245271,1.2504491806030273,0.8118967160375907
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,10,temperature,0.34859137195304374,0.24352873861789703,0.9353377557925585
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,11,humidity,0.9057069664212857,0.634818971157074,0.9374921043559865
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,11,temperature,0.25648204368998173,0.18781422078609467,0.9662054712919744
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,12,humidity,1.22181175243853,0.7919067740440369,0.9016400294471254
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,12,temperature,0.2946991110746221,0.20812293887138367,0.9475976517068009
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,13,humidity,0.7873660821429334,0.6014358401298523,0.9502530973174973
head_only,lab2_active_10_12,"Lab2 active set [10, 12]",11,13,temperature,0.23264482367633438,0.1925893872976303,0.9667920834383906
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,1,humidity,0.8972768833515292,0.7501818537712097,0.9440555962351628
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,1,temperature,0.241450025237531,0.194072887301445,0.9605959205681214
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,2,humidity,1.1358139789487496,0.7634083032608032,0.8924163900775783
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,2,temperature,0.29713436141009203,0.22655031085014343,0.9555214297920798
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,3,humidity,0.8556737784726784,0.6362476944923401,0.9443770689696853
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,3,temperature,0.2883140178345247,0.23070748150348663,0.9529766429702418
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,4,humidity,1.6202802340349027,0.9573383927345276,0.7371793003768095
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,4,temperature,0.6256073385026528,0.3841542899608612,0.8521638876064377
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,5,humidity,1.099156504958358,0.8080921769142151,0.9106242759218995
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,5,temperature,0.3963249900930003,0.3156733810901642,0.8972560765201825
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,6,humidity,1.7645916911185846,1.1463388204574585,0.7816016468442462
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,6,temperature,0.42980338181274197,0.3060407340526581,0.9048993848011027
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,7,humidity,2.3791981785742244,1.8299288749694824,0.6378917807893695
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,7,temperature,0.5045638118855841,0.4137682020664215,0.8540276750310346
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,8,humidity,1.4018664384530313,0.9201297163963318,0.8631341502067155
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,8,temperature,0.30313351068642175,0.21601969003677368,0.9445781774481871
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,9,humidity,2.244102059374075,1.6766895055770874,0.6799739593658434
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,9,temperature,0.5457477395696306,0.4550434947013855,0.8312688900769301
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,10,humidity,1.784841430416769,1.2260828018188477,0.7962834231841718
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,10,temperature,0.3857233356746257,0.2884688377380371,0.9208284178768712
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,11,humidity,0.8911878580737008,0.6398431658744812,0.9394801321149442
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,11,temperature,0.2674545782510737,0.18692414462566376,0.9632520994727735
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,12,humidity,1.1164877774346433,0.6610817909240723,0.9178669862431824
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,12,temperature,0.297558749993549,0.22833307087421417,0.946575735599394
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,13,humidity,0.7873660821429334,0.6014358401298523,0.9502530973174973
head_only,lab2_active_10_12_13,"Lab2 active set [10, 12, 13]",10,13,temperature,0.23264482367633438,0.1925893872976303,0.9667920834383906
head_only,lab2_active_10_13,"Lab2 active set [10, 13]",11,1,humidity,0.9423065629066035,0.7695729732513428,0.9382995793285569
